term,estimate,std_error,conf_low,conf_high,seed,true_value,index
beta_logNI,1.0336411993767372,0.05777738437849958,0.9203996068739508,1.1468827918795235,20191053,1,36
lambda,0.497130468491911,0.010960808761222242,0.47564767807848435,0.5186132589053377,20191054,0.5,37
beta_0,-5.133801780470695,0.31576633088611517,-5.752692416537839,-4.514911144403552,20191054,-5,37
beta_logHI,2.0297964499588157,0.09970121793751387,1.8343856535865097,2.2252072463311214,20191054,2,37
beta_logNI,1.0200760554139032,0.05719266639313797,0.9079804891035386,1.1321716217242679,20191054,1,37
lambda,0.4890559937256322,0.011391547005162901,0.46672897186731777,0.5113830155839466,20191055,0.5,38
beta_0,-5.040872044157531,0.3309957671597291,-5.689611826825805,-4.392132261489257,20191055,-5,38
beta_logHI,1.9643648976451618,0.10217485777671582,1.7641058562772964,2.164623939013027,20191055,2,38
beta_logNI,0.9998072310354419,0.05768852853670037,0.886739792782398,1.1128746692884857,20191055,1,38
lambda,0.5030883400816465,0.011399805815684182,0.48074513125215523,0.5254315489111377,20191056,0.5,39
beta_0,-4.812482556087418,0.3041551408829282,-5.408615677930664,-4.216349434244172,20191056,-5,39
beta_logHI,1.9442562844002003,0.09574071918863188,1.756607922936519,2.1319046458638815,20191056,2,39
beta_logNI,0.9665231932270878,0.05527234433208778,0.8581913889950992,1.0748549974590764,20191056,1,39
lambda,0.48261189615078687,0.010754767392689248,0.4615329393990102,0.5036908529025635,20191057,0.5,40
beta_0,-5.718484616743524,0.3683038471909013,-6.440346892605234,-4.996622340881814,20191057,-5,40
beta_logHI,2.2199564304608597,0.11645176670274973,1.9917151617874096,2.44819769913431,20191057,2,40
beta_logNI,1.0750124631015778,0.063825268436666735,0.94991723566211,1.2001076905410457,20191057,1,40
lambda,0.4901115936045893,0.011111599934227325,0.4683332579228861,0.5118899292862925,20191058,0.5,41
beta_0,-5.334008732810454,0.34955919699196775,-6.019132169379453,-4.648885296241455,20191058,-5,41
beta_logHI,2.093047661339316,0.10893179614898173,1.879545264116053,2.3065500585625793,20191058,2,41
beta_logNI,1.0579792367174568,0.062434444691070796,0.9356099737282,1.1803484997067135,20191058,1,41
lambda,0.4971482431537743,0.011177182561876152,0.47524136788386795,0.5190551184236807,20191059,0.5,42
beta_0,-5.294861355939589,0.3324585248159792,-5.946468090932224,-4.643254620946954,20191059,-5,42
beta_logHI,2.082920322302722,0.10271451050485365,1.8816035810235479,2.2842370635818963,20191059,2,42
beta_logNI,1.072284294466437,0.06129885021152321,0.9521407557581361,1.192427833174738,20191059,1,42
lambda,0.49384367108253857,0.011615126703653274,0.47107844106750874,0.5166089010975684,20191060,0.5,43
beta_0,-4.960796236306914,0.33036441849066467,-5.6082985983221345,-4.313293874291693,20191060,-5,43
beta_logHI,1.9776787460227188,0.10347706213361416,1.7748674310148216,2.180490061030616,20191060,2,43
beta_logNI,0.9899744728726243,0.05760727140840736,0.8770662956645219,1.1028826500807267,20191060,1,43
lambda,0.5044960004369969,0.011587982634297755,0.48178397182029775,0.5272080290536961,20191061,0.5,44
beta_0,-4.753356305829886,0.3132425888503313,-5.367300498400623,-4.139412113259149,20191061,-5,44
beta_logHI,1.9322391765072118,0.09700457630013339,1.7421137006233827,2.122364652391041,20191061,2,44
beta_logNI,0.9637963106185451,0.05710310587038101,0.8518762797072206,1.0757163415298696,20191061,1,44
lambda,0.5087357417116306,0.011330034913285573,0.4865292813380095,0.5309422020852517,20191062,0.5,45
beta_0,-5.203645031270788,0.3328361369031486,-5.8559918723544016,-4.551298190187174,20191062,-5,45
beta_logHI,2.0389737631854064,0.10338648695545005,1.836339972264604,2.2416075541062086,20191062,2,45
beta_logNI,1.0677841721713892,0.060929708680940387,0.9483641375682286,1.1872042067745499,20191062,1,45
lambda,0.5084119381495449,0.011888164601561274,0.48511156368820085,0.5317123126108889,20191063,0.5,46
beta_0,-4.358212854403805,0.27322967669453346,-4.893733180232613,-3.822692528574996,20191063,-5,46
beta_logHI,1.7386690145475912,0.08152819736371301,1.5788766839902404,1.898461345104942,20191063,2,46
beta_logNI,0.8795602204945419,0.04970710696142332,0.782136081074472,0.9769843599146117,20191063,1,46
lambda,0.5131485541862034,0.011193444297168917,0.4912098065007971,0.5350873018716098,20191064,0.5,47
beta_0,-5.024801180341694,0.31138427504085253,-5.635103144773879,-4.414499215909508,20191064,-5,47
beta_logHI,2.050870551712731,0.10108788554486793,1.8527419367714826,2.248999166653979,20191064,2,47
beta_logNI,1.0045966605626617,0.05564406521439036,0.8955362967890586,1.113657024336265,20191064,1,47
lambda,0.5097292940820533,0.011507338412687973,0.4871753252352705,0.532283262928836,20191065,0.5,48
beta_0,-5.037159738530235,0.32795730361671693,-5.679944242085868,-4.394375234974603,20191065,-5,48
beta_logHI,2.0178962144538395,0.10249178727682871,1.8170160026801148,2.2187764262275644,20191065,2,48
beta_logNI,0.9906210575738954,0.0577415814636308,0.8774496374947934,1.1037924776529973,20191065,1,48
lambda,0.5058811474799422,0.012270967610259424,0.48183049290837615,0.5299318020515081,20191066,0.5,49
beta_0,-4.530546633569102,0.30561293570066334,-5.129536980751958,-3.9315562863862468,20191066,-5,49
beta_logHI,1.818008746844984,0.09267075917549104,1.6363773964410369,1.999640097248931,20191066,2,49
beta_logNI,0.9699446354094096,0.055942297826839474,0.8602997464563908,1.0795895243624283,20191066,1,49
lambda,0.5018715745811179,0.011155769661921168,0.4800066678239278,0.523736481338308,20191067,0.5,50
beta_0,-5.009212410939735,0.3089947540633161,-5.614831000315647,-4.403593821563824,20191067,-5,50
beta_logHI,1.99487769656693,0.09669725196863158,1.8053545653044172,2.1844008278294424,20191067,2,50
beta_logNI,0.9945544830541182,0.0565637149546941,0.8836916389111281,1.1054173271971082,20191067,1,50
lambda,0.46346760496846995,0.010819616367938902,0.44226154656076966,0.48467366337617024,20191068,0.5,51
beta_0,-5.890143701723935,0.40158746450246224,-6.6772406687915185,-5.103046734656352,20191068,-5,51
beta_logHI,2.2484999942630366,0.1248839490877791,2.003731951803856,2.4932680367222173,20191068,2,51
beta_logNI,1.1152202497085204,0.06776882325024167,0.9823957968633861,1.2480447025536547,20191068,1,51
lambda,0.5204788620439851,0.012403244187588007,0.49616895014485685,0.5447887739431133,20191069,0.5,52
beta_0,-4.30552705288985,0.2815835648111922,-4.857420698558187,-3.7536334072215136,20191069,-5,52
beta_logHI,1.7878130824940526,0.08689443490134989,1.6175031196304466,1.9581230453576586,20191069,2,52
beta_logNI,0.9160905630535088,0.051598947324647364,0.8149584846570206,1.017222641449997,20191069,1,52
lambda,0.49301908430019453,0.011060612194370842,0.47134068275226315,0.5146974858481259,20191070,0.5,53
beta_0,-5.528881347621856,0.35666622121007546,-6.2279342956956,-4.829828399548112,20191070,-5,53
beta_logHI,2.113418086644193,0.1099750368907913,1.8978709751397782,2.3289651981486075,20191070,2,53
beta_logNI,1.0625054367720157,0.06155200263658489,0.9418657284279949,1.1831451451160364,20191070,1,53
lambda,0.5102235746104912,0.011406225595693271,0.4878677832433934,0.5325793659775889,20191071,0.5,54
beta_0,-4.966742509067261,0.3051953056804577,-5.564914316451651,-4.368570701682872,20191071,-5,54
beta_logHI,2.038921455201243,0.09829794588327564,1.8462610215157556,2.2315818888867307,20191071,2,54
beta_logNI,1.0353344114153111,0.056241486993734276,0.9251031224706141,1.1455657003600082,20191071,1,54
lambda,0.5027692999285828,0.011552474399341463,0.4801268661735525,0.525411733683613,20191072,0.5,55
